Data Point,Latitude,Longitude,Altitude,RSRP,RF Channel Power,RSSI,SINR,RSRQ,OSTP,Text,Voice,Video
1,39.68869167,-106.9443733,2225.3,,,,,,,,,
2,39.68865833,-106.944255,2226.1,,,,,,,,,
3,39.68862167,-106.9440883,2226.8,,,,,,,,,
4,39.68858667,-106.943955,2226.7,,,,,,,,,
5,39.688555,-106.9438217,2226.3,,,,,,,,,
6,39.68851167,-106.94366,2226.1,,,,,,,,,
7,39.68846833,-106.94354,2227.2,,,,,,,,,
8,39.68841,-106.94342,2228.7,,,,,,,,,
9,39.68835167,-106.94332,2230.6,,,,,,,,,
10,39.68829833,-106.943225,2232.2,,,,,,,,,
11,39.68823667,-106.94311,2233.9,,,,,,,,,
12,39.68817333,-106.9429867,2235.6,,,,,,,,,
13,39.68811167,-106.9428483,2237.6,,,,,,,,,
14,39.68806,-106.9427133,2238.8,,,,,,,,,
15,39.68801,-106.9425817,2239.2,,,,,,,,,
16,39.68795667,-106.9424417,2238.7,,,,,,,,,
17,39.68789833,-106.9422933,2238,,,,,,,,,
18,39.687825,-106.9421433,2238,,,,,,,,,
19,39.68774833,-106.941985,2237.5,,,,,,,,,
20,39.68768667,-106.9418433,2236.7,,,,,,,,,
21,39.68762667,-106.94171,2235.8,,,,,,,,,
22,39.68755833,-106.94155,2234.8,,,,,,,,,
23,39.68749167,-106.9413983,2233.1,,,,,,,,,
24,39.68743833,-106.94126,2232,,,,,,,,,
25,39.68738667,-106.941125,2231.2,,,,,,,,,
26,39.68734167,-106.94115,2231.2,,,,,,,,,
27,39.68728833,-106.941215,2231.9,,,,,,,,,
28,39.687245,-106.9413017,2232,,,,,,,,,
29,39.68717333,-106.941295,2231.1,,,,,,,,,
30,39.68709333,-106.941325,2230.6,,,,,,,,,
31,39.68699833,-106.94134,2229.7,,,,,,,,,
32,39.68692,-106.9413833,2229.7,,,,,,,,,
33,39.68685167,-106.94146,2230,,,,,,,,,
34,39.68679167,-106.9415217,2229.4,,,,,,,,,
35,39.68671,-106.94156,2228.6,,,,,,,,,
36,39.68667333,-106.9416167,2228.5,,,,,,,,,
37,39.686645,-106.94171,2228.4,,,,,,,,,
38,39.686595,-106.9418117,2227.8,,,,,,,,,
39,39.68658667,-106.941875,2227.8,,,,,,,,,
40,39.686635,-106.9419867,2227.8,,,,,,,,,
41,39.686675,-106.9420917,2228.3,,,,,,,,,
42,39.68669833,-106.942225,2228.7,,,,,,,,,
43,39.68672833,-106.9423367,2228.5,,,,,,,,,
44,39.68677167,-106.94244,2228.3,,,,,,,,,
45,39.68681833,-106.9425367,2227.7,,,,,,,,,
46,39.68692,-106.9425917,2227.7,,,,,,,,,
47,39.68699,-106.9426883,2227.4,,,,,,,,,
48,39.68705167,-106.9427583,2226.7,,,,,,,,,
49,39.68713667,-106.942825,2227,,,,,,,,,
50,39.68720833,-106.94292,2226.2,,,,,,,,,
51,39.68726,-106.94303,2226.8,,,,,,,,,
52,39.68729333,-106.9431233,2227.1,,,,,,,,,
53,39.68735167,-106.943215,2228.2,,,,,,,,,
54,39.68741667,-106.9433183,2228.3,,,,,,,,,
55,39.68749,-106.9434117,2227.5,,,,,,,,,
56,39.687585,-106.9434667,2225.6,,,,,,,,,
57,39.687645,-106.9435733,2223.5,,,,,,,,,
58,39.68765167,-106.943595,2223.4,,,,,,,,,
59,39.687665,-106.94362,2221.7,,,,,,,,,
60,39.68772167,-106.9437267,2221.2,,,,,,,,,
61,39.68779333,-106.943825,2219.1,,,,,,,,,
62,39.68782167,-106.9438817,2217.9,,,,,,,,,
63,39.68791833,-106.9439383,2218.1,,,,,,,,,
64,39.688,-106.9440083,2218.9,,,,,,,,,
65,39.68808167,-106.9440783,2220.2,,,,,,,,,
66,39.68820167,-106.944135,2222,,,,,,,,,
67,39.68827167,-106.944165,2223.4,,,,,,,,,
68,39.68835833,-106.9441833,2224.2,,,,,,,,,
69,39.68841167,-106.9442367,2224.6,,,,,,,,,
70,39.68848167,-106.94428,2225.6,,,,,,,,,
71,39.68855,-106.9443633,2226.2,,,,,,,,,
72,39.68864,-106.94441,2227.3,,,,,,,,,
73,39.68865833,-106.9444767,2226.7,,,,,,,,,
74,39.68867833,-106.9444767,2225.3,,,,,,,,,
75,39.68869167,-106.94447,2225,,,,,,,,,
76,39.68869833,-106.9444633,2224.5,,,,,,,,,
77,39.68868333,-106.94447,2224.4,,,,,,,,,
78,39.688675,-106.9444867,2225.4,,,,,,,,,
