Data Point,Latitude,Longitude,Altitude,RSRP,RF Channel Power,RSSI,SINR,RSRQ,OSTP,Text,Voice,Video
1,39.68869167,-106.9443733,2225.3,-21.29053479889359,,,,,,Good,Good,Good
2,39.68865833,-106.944255,2226.1,-35.40908626511515,,,,,,Good,Good,Good
3,39.68862167,-106.94408829999999,2226.8,-46.80565255673538,,,,,,Good,Good,Good
4,39.68858667,-106.943955,2226.7,-52.84715552537443,,,,,,Good,Good,Good
5,39.688555,-106.9438217,2226.3,-57.48644367585581,,,,,,Good,Good,Good
6,39.68851167,-106.94366000000001,2226.1,-61.994229916435415,,,,,,Good,Good,Good
7,39.68846833,-106.94353999999998,2227.2,-64.83340800314267,,,,,,Good,Good,Good
8,39.68841,-106.94341999999999,2228.7,-67.38691927339272,,,,,,Good,Good,Good
9,39.68835167,-106.94332,2230.6,-69.34256745919402,,,,,,Good,Good,Good
10,39.68829833,-106.943225,2232.2,-71.04168181250898,,,,,,Good,Good,Good
11,39.68823667,-106.94311,2233.9,-72.9196874515051,,,,,,Good,Good,Good
12,39.68817333,-106.9429867,2235.6,-74.7503965928531,,,,,,Good,Good,Good
13,39.68811167,-106.9428483,2237.6,-76.59307112311333,,,,,,Good,Good,Good
14,39.68806,-106.9427133,2238.8,-78.21252989927619,,,,,,Good,Good,Good
15,39.68801,-106.9425817,2239.2,-79.67323952736515,,,,,,Good,Good,Good
16,39.68795667,-106.94244170000002,2238.7,-81.11886030691588,,,,,,Good,Good,Good
17,39.68789833,-106.9422933,2238.0,-82.55030445555906,,,,,,Good,Good,Good
18,39.687825,-106.9421433,2238.0,-83.93876304323399,,,,,,Good,Good,Good
19,39.68774833,-106.941985,2237.5,-85.3058367589081,,,,,,Good,Good,Good
20,39.68768667,-106.9418433,2236.7,-86.43858169374991,,,,,,Good,Good,Good
21,39.68762667,-106.94171000000001,2235.8,-87.45351151374403,,,,,,Good,Good,Good
22,39.68755833,-106.94155,2234.8,-88.59941669962615,,,,,,Good,Good,Good
23,39.68749167,-106.9413983,2233.1,-89.6325272030739,,,,,,Good,Good,Good
24,39.68743833,-106.94126000000001,2232.0,-90.51482854485651,,,,,,Good,Good,Good
25,39.68738667,-106.941125,2231.2,-91.33929082977548,,,,,,Good,Good,Good
26,39.68734167,-106.94115,2231.2,-91.29944519842334,,,,,,Good,Good,Good
27,39.68728833,-106.94121499999999,2231.9,-91.07335858030177,,,,,,Good,Good,Good
28,39.687245000000004,-106.9413017,2232.0,-90.71636262098622,,,,,,Good,Good,Good
29,39.68717333,-106.941295,2231.1,-90.92133461300256,,,,,,Good,Good,Good
30,39.68709333,-106.941325,2230.6,-90.96445013771557,,,,,,Good,Good,Good
31,39.68699833,-106.94134,2229.7,-91.13386551712424,,,,,,Good,Good,Good
32,39.68692,-106.94138329999998,2229.7,-91.13038316234135,,,,,,Good,Good,Good
33,39.68685167,-106.94146,2230.0,-90.94791246445206,,,,,,Good,Good,Good
34,39.68679167,-106.9415217,2229.4,-90.82665652857841,,,,,,Good,Good,Good
35,39.68671,-106.94156000000001,2228.6,-90.89691312513631,,,,,,Good,Good,Good
36,39.68667333,-106.94161670000001,2228.5,-90.74611937064223,,,,,,Good,Good,Good
37,39.686645,-106.94171000000001,2228.4,-90.39936041425103,,,,,,Good,Good,Good
38,39.686595000000004,-106.9418117,2227.8,-90.09588474597963,,,,,,Good,Good,Good
39,39.68658667,-106.941875,2227.8,-89.82836713042155,,,,,,Good,Good,Good
40,39.686634999999995,-106.94198670000002,2227.8,-89.10828879813036,,,,,,Good,Good,Good
41,39.686675,-106.94209170000002,2228.3,-88.43130364618705,,,,,,Good,Good,Good
42,39.68669833,-106.942225,2228.7,-87.66241985892177,,,,,,Good,Good,Good
43,39.68672833,-106.94233670000001,2228.5,-86.95460041753222,,,,,,Good,Good,Good
44,39.68677167,-106.94243999999999,2228.3,-86.20656020482267,,,,,,Good,Good,Good
45,39.68681833,-106.9425367,2227.7,-85.45220853636111,,,,,,Good,Good,Good
46,39.68692,-106.94259170000001,2227.7,-84.61295031553571,,,,,,Good,Good,Good
47,39.68699,-106.94268829999999,2227.4,-83.66435993974453,,,,,,Good,Good,Good
48,39.68705167,-106.94275829999998,2226.7,-82.88450217505525,,,,,,Good,Good,Good
49,39.68713667,-106.942825,2227.0,-81.9533089915746,,,,,,Good,Good,Good
50,39.68720833,-106.94292,2226.2,-80.86642425261118,,,,,,Good,Good,Good
51,39.687259999999995,-106.94303000000001,2226.8,-79.74692248318058,,,,,,Good,Good,Good
52,39.68729333,-106.9431233,2227.1,-78.8296422373583,,,,,,Good,Good,Good
53,39.68735167,-106.943215,2228.2,-77.69217932094958,,,,,,Good,Good,Good
54,39.68741667,-106.9433183,2228.3,-76.33951297981068,,,,,,Good,Good,Good
55,39.687490000000004,-106.94341170000001,2227.5,-74.9020377559595,,,,,,Good,Good,Good
56,39.687585,-106.94346670000002,2225.6,-73.49298367750026,,,,,,Good,Good,Good
57,39.687645,-106.9435733,2223.5,-71.84011827608498,,,,,,Good,Good,Good
58,39.68765167,-106.943595,2223.4,-71.5508607660685,,,,,,Good,Good,Good
59,39.687665,-106.94362,2221.7,-71.14891895842214,,,,,,Good,Good,Good
60,39.68772167,-106.9437267,2221.2,-69.35537741273674,,,,,,Good,Good,Good
61,39.68779333,-106.943825,2219.1,-67.29065185839491,,,,,,Good,Good,Good
62,39.68782167,-106.9438817,2217.9,-66.21317753288685,,,,,,Good,Good,Good
63,39.68791833,-106.94393829999999,2218.1,-63.895384211114134,,,,,,Good,Good,Good
64,39.688,-106.9440083,2218.9,-61.38145546155707,,,,,,Good,Good,Good
65,39.68808167,-106.9440783,2220.2,-58.50880894782128,,,,,,Good,Good,Good
66,39.68820167,-106.944135,2222.0,-54.337583286129984,,,,,,Good,Good,Good
67,39.68827167,-106.94416499999998,2223.4,-51.532604485759265,,,,,,Good,Good,Good
68,39.68835833,-106.94418329999999,2224.2,-48.11506300876023,,,,,,Good,Good,Good
69,39.68841167,-106.9442367,2224.6,-44.070979199689646,,,,,,Good,Good,Good
70,39.68848167,-106.94428,2225.6,-38.67974260667205,,,,,,Good,Good,Good
71,39.68855,-106.94436329999999,2226.2,-27.837973144603325,,,,,,Good,Good,Good
72,39.68864,-106.94441,2227.3,-10.956189994977763,,,,,,Good,Good,Good
73,39.68865833,-106.9444767,2226.7,31.351606704481753,,,,,,Good,Good,Good
74,39.68867833,-106.9444767,2225.3,6.266328681026607,,,,,,Good,Good,Good
75,39.68869167,-106.94447,2225.0,-1.6802794977521103,,,,,,Good,Good,Good
76,39.68869833,-106.9444633,2224.5,-5.11497332374239,,,,,,Good,Good,Good
77,39.68868333,-106.94447,2224.4,2.916565144312983,,,,,,Good,Good,Good
78,39.688675,-106.94448670000001,2225.4,6.273521280785417,,,,,,Good,Good,Good
79,39.68858167,-106.94451670000001,2224.4,-15.84002387500044,,,,,,Good,Good,Good
80,39.68846167,-106.94454329999999,2223.9,-33.86601577181506,,,,,,Good,Good,Good
81,39.688359999999996,-106.9445783,2223.6,-42.39373621336483,,,,,,Good,Good,Good
82,39.68824667,-106.9446217,2223.1,-49.00556756764507,,,,,,Good,Good,Good
83,39.68814667,-106.94466000000001,2222.5,-53.44297683320272,,,,,,Good,Good,Good
84,39.688109999999995,-106.944725,2222.4,-55.52024207769236,,,,,,Good,Good,Good
85,39.68806,-106.94477830000001,2222.6,-57.688682954720434,,,,,,Good,Good,Good
86,39.68800167,-106.9448233,2222.0,-59.75950714121856,,,,,,Good,Good,Good
87,39.68795,-106.9448783,2221.9,-61.619598372580526,,,,,,Good,Good,Good
88,39.68788667,-106.944915,2222.4,-63.35005657050803,,,,,,Good,Good,Good
89,39.68783667,-106.94498,2222.8,-65.00783102176356,,,,,,Good,Good,Good
90,39.687785,-106.94503,2223.0,-66.42395091172298,,,,,,Good,Good,Good
91,39.687705,-106.945085,2222.5,-68.22498786872691,,,,,,Good,Good,Good
92,39.68764167,-106.945145,2222.2,-69.69367479384258,,,,,,Good,Good,Good
93,39.68755,-106.9451433,2221.1,-70.91617570364551,,,,,,Good,Good,Good
94,39.687475,-106.94516999999999,2220.6,-72.09177627383241,,,,,,Good,Good,Good
95,39.68741333,-106.94519,2220.6,-72.9973074109094,,,,,,Good,Good,Good
96,39.68737833,-106.94523329999998,2219.2,-73.71301036551216,,,,,,Good,Good,Good
97,39.68729333,-106.9452483,2217.7,-74.77651893523048,,,,,,Good,Good,Good
98,39.68722167,-106.94521999999999,2216.4,-75.39776539925015,,,,,,Good,Good,Good
99,39.68715,-106.94522169999999,2215.0,-76.18332234491508,,,,,,Good,Good,Good
100,39.68707833,-106.94523500000001,2214.1,-77.00311758639829,,,,,,Good,Good,Good
101,39.68698833,-106.94526670000002,2212.6,-78.060083771971,,,,,,Good,Good,Good
102,39.68692,-106.94527,2211.1,-78.73536356620284,,,,,,Good,Good,Good
