Data Point,Latitude,Longitude,Altitude,RSRP,RF Channel Power,RSSI,SINR,RSRQ,OSTP,Text,Voice,Video
1,39.61590167,-107.0154867,2353.7,-87.33,-69.26,-64.16,31.32,-6.181,-91.75,Good,Good,Good
2,39.61591833,-107.0154983,2354.7,-90.74,-72.64,-67.56,30.46,-6.195,-92.78,Good,Good,Good
3,39.61595667,-107.0154017,2355.6,-91.66,-73.45,-68.46,30.44,-6.212,-88.96,Good,Good,Good
4,39.61603667,-107.01525,2355.4,-90.4,-72.16,-67.19,30.55,-6.22,-87.33,Good,Good,Good
5,39.61613667,-107.0151233,2354.8,-104.6,-85.66,-81.19,21.47,-6.428,-93.23,Good,Good,Maybe
6,39.616265,-107.0150883,2354.7,-93.81,-75.71,-70.63,26.41,-6.196,-91.63,Good,Good,Good
7,39.616365,-107.014995,2355.8,-98.71,-80.08,-75.39,23.54,-6.334,-90.76,Good,Good,Good
8,39.61638333,-107.0148217,2355.8,-94.35,-76.08,-71.12,27.88,-6.241,-89.89,Good,Good,Good
9,39.6164,-107.0146583,2356.3,-86.26,-68.2,-63.11,34.23,-6.161,-92.7,Good,Good,Good
10,39.616415,-107.0144767,2357.5,-90.08,-71.96,-66.91,31.34,-6.18,-93.33,Good,Good,Good
11,39.61642167,-107.01426,2357.1,-89.82,-71.62,-66.62,31.35,-6.202,-87.1,Good,Good,Good
12,39.61645833,-107.0141133,2357.6,-96.15,-77.92,-72.94,26.49,-6.217,-92.49,Good,Good,Good
13,39.61646333,-107.0139367,2358.8,-94.91,-76.7,-71.71,29.14,-6.206,-92.62,Good,Good,Good
14,39.61646667,-107.0137483,2363.2,-100.5,-82.04,-77.2,23.34,-6.298,-92.48,Good,Good,Maybe
15,39.61644,-107.013555,2364,-103.4,-84.77,-80.1,19.4,-6.359,-93.7,Good,Good,Maybe
16,39.616435,-107.013415,2364.9,-99.74,-81.12,-76.41,24.22,-6.338,-91.4,Good,Good,Good
17,39.61631333,-107.0133433,2364,-94.83,-76.64,-71.62,26.12,-6.217,-92.09,Good,Good,Good
18,39.61619,-107.0132983,2363,-97.11,-78.44,-73.76,25.6,-6.363,-90.39,Good,Good,Good
19,39.61607833,-107.0132667,2363.6,-92.47,-74.23,-69.24,27.41,-6.246,-90.55,Good,Good,Good
20,39.615955,-107.0132333,2363.6,-91.32,-72.99,-68.06,28.53,-6.272,-89.11,Good,Good,Good
21,39.61585333,-107.0131967,2364.4,-94.68,-76.46,-71.45,25.57,-6.247,-93.4,Good,Good,Good
22,39.615765,-107.0131867,2365.4,-95.37,-77.2,-72.13,20.77,-6.255,-93.08,Good,Good,Good
23,39.615695,-107.013185,2367.5,-94.64,-76.5,-71.46,29.89,-6.195,-94.36,Good,Good,Good
24,39.61558167,-107.013145,2369.3,-89.91,-71.8,-66.69,27.19,-6.223,-94.16,Good,Good,Good
25,39.6155,-107.01313,2370.5,-89.48,-71.15,-66.2,20.79,-6.294,-85.73,Good,Good,Good
26,39.61543667,-107.0131417,2372.5,-90.88,-72.73,-67.69,31.98,-6.203,-95.31,Good,Good,Good
27,39.615395,-107.0131333,2374.1,-89.18,-71.08,-65.97,28.82,-6.223,-94.7,Good,Good,Good
28,39.61529,-107.013125,2376.2,-96.66,-78.13,-73.31,19.5,-6.358,-90.42,Good,Good,Good
29,39.61516167,-107.0131233,2377.7,-92.67,-74.44,-69.42,23.16,-6.26,-91.38,Good,Good,Good
30,39.61502333,-107.0130517,2379.5,-95.46,-76.99,-72.15,22.58,-6.323,-89.75,Good,Good,Good
31,39.61492833,-107.0129667,2379.8,-102.2,-83.3,-78.76,16.67,-6.464,-92.17,Good,Good,Maybe
32,39.61482667,-107.01291,2381.3,-109.9,-88.66,-85.49,4.67E-01,-7.459,-91.69,Maybe,Maybe,Maybe
33,39.61470833,-107.012875,2381.7,-106.8,-86.9,-82.94,10.4,-6.83,-92.33,Maybe,Maybe,Maybe
34,39.61461167,-107.0127833,2382.8,-114.7,-91.43,-89.2,7.142,-8.524,-93.1,No,No,No
35,39.61448,-107.0127017,2383.6,-114.3,-91.09,-88.83,6.55E-01,-8.517,-92.84,No,No,No
36,39.61437667,-107.012595,2382.5,-115.1,-90.72,-88.93,2.616,-9.215,-91.98,No,No,No
37,39.61425833,-107.012515,2382.5,-109.9,-89.29,-85.78,10.83,-7.146,-92.98,Maybe,Maybe,Maybe
38,39.61417,-107.01245,2379.4,-120.3,-90.84,-89.85,-1.927,-13.49,-91.42,No,No,No
39,39.61408833,-107.012315,2379.4,-110.5,-90.22,-86.49,7.455,-6.97,-94.17,No,No,No
40,39.61410167,-107.0121433,2378,-105.1,-85.73,-81.46,11.28,-6.643,-92.71,Maybe,Maybe,Maybe
41,39.61413,-107.0119583,2378.3,-110.3,-89.17,-85.92,4.937,-7.433,-92.1,No,No,No
42,39.6142,-107.0117917,2378.1,-107.3,-87.42,-83.48,10.94,-6.878,-92.53,Maybe,Maybe,Maybe
43,39.61423667,-107.011665,2375.7,-117.9,-90.81,-89.47,-8.60E-01,-11.49,-91.72,No,No,No
44,39.61433333,-107.0114867,2373.6,-110.8,-89.39,-86.32,6.911,-7.525,-92.2,No,No,No
45,39.614355,-107.01136,2372.7,-109.8,-89.47,-85.79,8.511,-7.039,-93.91,Maybe,Maybe,Maybe
46,39.61433333,-107.0112017,2371.7,-111.1,-89.59,-86.58,2.349,-7.537,-92.76,No,No,No
47,39.61435167,-107.0110133,2372.5,-115.2,-90.69,-88.87,2.76,-9.317,-92.25,No,No,No
48,39.61434833,-107.0108367,2372.7,-108.5,-87.61,-84.26,7.467,-7.266,-91.26,Maybe,Maybe,Maybe
49,39.61433167,-107.0106617,2372.2,-111.2,-89.27,-86.44,5.918,-7.788,-91.61,No,No,No
50,39.61434167,-107.0105333,2371.8,-105.7,-86.55,-82.15,11.45,-6.554,-93.45,Maybe,Maybe,Maybe
51,39.61438333,-107.0103833,2371.9,-112.6,-89.86,-87.35,2.86,-8.302,-91.82,No,No,No
52,39.61444667,-107.0102233,2371.9,-113.4,-90.99,-88.4,4.078,-7.999,-93.29,No,No,No
53,39.61457833,-107.01012,2372,-113.1,-89.79,-87.42,-1.438,-8.646,-91.89,No,No,No
54,39.61464833,-107.010015,2372.5,-111,-89.41,-86.4,4.648,-7.612,-92.09,No,No,No
55,39.614685,-107.0098933,2372.6,No Signal,,,,,, , , 
56,39.61476333,-107.0098583,2371.7,-111.7,-89.53,-86.82,7.512,-7.927,-92.27,No,No,No
57,39.61479667,-107.0098883,2372.6,-107.5,-87.66,-83.67,9.318,-6.834,-92.54,Maybe,Maybe,Maybe
58,39.61477667,-107.0098883,2373.7,No Signal,,,,,, , , 
59,39.61485833,-107.00996,2375.7,-111.6,-89.79,-86.89,6.909,-7.739,-92.35,No,No,No
60,39.61492167,-107.010015,2380.4,-104.6,-85.6,-81.13,10.17,-6.513,-93.65,Good,Good,Maybe
61,39.614965,-107.01008,2381.1,-108.4,-87.82,-84.25,8.171,-7.107,-92.07,Maybe,Maybe,Maybe
62,39.61501333,-107.0101617,2381.4,-96.14,-77.73,-72.83,18.58,-6.321,-93.35,Good,Good,Good
63,39.615,-107.0102317,2382.3,-96.63,-78,-73.25,19.6,-6.388,-91.55,Good,Good,Good
64,39.61499167,-107.0103083,2383.8,-101.3,-82.39,-77.82,14.8,-6.469,-91.91,Good,Good,Maybe
65,39.61503167,-107.0104583,2384.2,-111.1,-89.38,-86.39,4.66,-7.696,-92.8,No,No,No
66,39.61502833,-107.010565,2384.2,-106.4,-86.99,-82.75,9.357,-6.689,-93.76,Maybe,Maybe,Maybe
67,39.61497667,-107.0106533,2384.4,-95.3,-76.95,-72.02,23.98,-6.295,-88.46,Good,Good,Good
68,39.61492833,-107.0107933,2384.7,-101.9,-82.89,-78.41,13.66,-6.53,-91.16,Good,Good,Maybe
69,39.61482333,-107.010785,2385,-98.45,-80.17,-75.16,15.54,-6.295,-92.8,Good,Good,Good
70,39.61490167,-107.01089,2385.5,-102.5,-83.42,-78.99,14.67,-6.531,-92.2,Good,Good,Maybe
71,39.61491167,-107.01101,2385.5,-102.6,-83.59,-79.08,12.72,-6.518,-91.86,Good,Good,Maybe
72,39.61492833,-107.01114,2385.3,-94.89,-76.25,-71.52,24.25,-6.383,-91.27,Good,Good,Good
73,39.61496667,-107.0112667,2385.5,-99.49,-80.94,-76.13,14.83,-6.366,-92.54,Good,Good,Good
74,39.61501833,-107.0113983,2385.3,-96.2,-77.69,-72.86,19.91,-6.352,-89.68,Good,Good,Good
75,39.615115,-107.0113483,2385.1,-97.15,-78.65,-73.81,19.27,-6.354,-89.61,Good,Good,Good
76,39.61516833,-107.0112483,2383.8,-88.82,-70.54,-65.55,24.37,-6.282,-90.16,Good,Good,Good
77,39.61528667,-107.0111467,2382.4,-86.18,-67.8,-62.89,28.58,-6.297,-84.97,Good,Good,Good
78,39.61536667,-107.0110233,2380.7,-88.67,-70.41,-65.41,28.43,-6.268,-92.06,Good,Good,Good
79,39.6155,-107.0109217,2377.8,-85.46,-67.25,-62.21,27.77,-6.263,-91.97,Good,Good,Good
80,39.61559,-107.010815,2375.8,-80.13,-61.92,-56.88,31.45,-6.262,-90.84,Good,Good,Good
81,39.61568333,-107.0107083,2372.8,-81.48,-63.26,-58.23,31.97,-6.256,-91.74,Good,Good,Good
82,39.61578167,-107.0106667,2368.5,-86.7,-68.4,-63.43,26.62,-6.282,-85.92,Good,Good,Good
83,39.61586333,-107.010605,2366.2,-93.13,-74.81,-69.86,26.12,-6.284,-93.17,Good,Good,Good
84,39.615975,-107.010575,2363.1,-92.18,-73.91,-68.92,24.19,-6.27,-90.81,Good,Good,Good
85,39.61607833,-107.010515,2360,-97.39,-78.91,-74.06,19.01,-6.335,-92,Good,Good,Good
86,39.61619667,-107.010445,2357,-99.88,-81.06,-76.44,18.04,-6.443,-91.38,Good,Good,Good
87,39.61629,-107.0103033,2352.3,-102.4,-83.58,-78.93,13.62,-6.448,-93.5,Good,Good,Maybe
88,39.61640333,-107.0102283,2350.2,-109,-88.59,-84.9,4.972,-7.083,-92.53,Maybe,Maybe,Maybe
89,39.61654,-107.0101833,2349.2,-111.2,-88.82,-86.15,1.297,-8.02,-90.96,No,No,No
90,39.61667167,-107.0101517,2347.3,-117.6,-91.21,-89.86,2.47E-01,-10.71,-91.82,No,No,No
91,39.61672667,-107.00999,2347.8,-110.3,-88.33,-85.46,7.236,-7.842,-90.87,No,No,No
92,39.61674833,-107.009865,2347.7,-116.1,-90.42,-88.77,-1.59,-10.34,-91.26,No,No,No
93,39.61676833,-107.0097033,2347.2,-116.7,-90.53,-89.08,1.028,-10.68,-91.62,No,No,No
94,39.61678167,-107.00949,2347.6,-111.7,-90.45,-87.25,2.61,-7.431,-93.42,No,No,No
95,39.61681167,-107.0093067,2348.5,-111,-89.08,-86.24,4.121,-7.758,-91.57,No,No,No
96,39.61679667,-107.0091233,2348,-112.6,-90.54,-87.71,1.712,-7.866,-92.8,No,No,No
97,39.61682667,-107.0089583,2346.8,-112.8,-89.44,-87.24,4.78E-01,-8.563,-91.03,No,No,No
98,39.61682,-107.0088717,2347.1,-117.3,-91.74,-90.13,-1.599,-10.13,-92.69,No,No,No
99,39.61679833,-107.0088217,2347.2,-120,-92.76,-91.49,3.50E-01,-11.48,-93.68,No,No,No
100,39.616775,-107.0087383,2347.5,-123,-89.71,-88.57,-2.585,-17.46,-90.45,No,No,No
101,39.61683,-107.0086317,2347.4,-111.8,-88.87,-86.49,5.371,-8.324,-90.97,No,No,No
102,39.61690333,-107.008565,2347.1,-115.2,-89.77,-88.31,8.08E-01,-9.861,-91.12,No,No,No
103,39.616975,-107.0084417,2348,-108.9,-88.56,-84.92,8.792,-7.025,-92.49,Maybe,Maybe,Maybe
104,39.61698167,-107.0082717,2348.2,-112.8,-89.78,-87.4,2.899,-8.374,-91.35,No,No,No
105,39.61700333,-107.0081133,2352.3,-111.9,-89.58,-86.91,4.977,-7.997,-91.91,No,No,No
106,39.61708,-107.0079683,2352.6,-113.8,-90.69,-88.42,5.88,-8.409,-92.71,No,No,No
107,39.61714333,-107.007815,2353.1,-107.9,-87.99,-84.06,13.32,-6.834,-92.39,Maybe,Maybe,Maybe
108,39.617265,-107.00771,2349.2,-104.6,-85.33,-81,13.33,-6.604,-91.75,Good,Good,Maybe
109,39.61736333,-107.0075783,2345.9,-109.3,-88.77,-85.19,10.76,-7.124,-92.51,Maybe,Maybe,Maybe
110,39.61746667,-107.0074583,2344.7,-117.5,-90.42,-89.22,2.765,-11.31,-91.04,No,No,No
111,39.617485,-107.0072783,2342.7,No Signal,,,,,, , , 
112,39.61752167,-107.0070983,2339.5,-118.5,-90.81,-89.79,-2.038,-11.76,-91.11,No,No,No
113,39.61755167,-107.0069217,2337.7,-110.3,-88.96,-85.78,7.26,-7.491,-92.13,No,No,No
114,39.617595,-107.006775,2336.7,-122.3,-90.75,-90.06,-1.651,-15.2,-91.18,No,No,No
115,39.617655,-107.0065817,2336.4,-132.2,-91.82,-91.08,-2.685,-24.16,-92.19,No,No,No
116,39.61767667,-107.00642,2334.2,No Signal,,,,,, , , 
117,39.61766833,-107.00624,2332.4,-130.6,-91.46,-91.16,-1.551,-22.42,-91.54,No,No,No
118,39.61769,-107.0062567,2333.3,No Signal,,,,,, , , 
119,39.61771167,-107.006145,2333.7,No Signal,,,,,, , , 
120,39.61769833,-107.0063067,2335,No Signal,,,,,, , , 
121,39.61768,-107.0064717,2336.3,No Signal,,,,,, , , 
122,39.61769167,-107.0066383,2338.7,-124.4,-92.59,-92.12,-8.18E-01,-15.28,-92.71,No,No,No
123,39.61769333,-107.00688,2340.2,No Signal,,,,,, , , 
124,39.61767833,-107.0070967,2341.8,No Signal,,,,,, , , 
125,39.61767167,-107.00724,2343.8,-122.2,-91.69,-91.16,-2.598,-14.03,-92.15,No,No,No
126,39.61765667,-107.007395,2345.7,-130.8,-91.18,-90.63,-9.56E-01,-23.14,-91.74,No,No,No
127,39.61766,-107.007545,2348.2,-126.7,-92.09,-91.27,-6.44E-01,-18.46,-92.27,No,No,No
128,39.61765833,-107.00771,2350.6,No Signal,,,,,, , , 
129,39.61764833,-107.0078817,2352.7,-123.1,-91.65,-91.11,-2.596,-14.97,-92.11,No,No,No
130,39.61765333,-107.0080417,2354.6,-119.5,-92.2,-91.1,2.123,-11.38,-92.99,No,No,No
131,39.61768,-107.0082167,2355.4,-121.8,-91.54,-90.7,-2.703,-14.14,-91.99,No,No,No
132,39.617665,-107.0083383,2355,-116.7,-90.69,-89.34,3.038,-10.34,-91.52,No,No,No
133,39.61763833,-107.0084983,2357.1,-123.7,-91.37,-90.96,-2.578,-15.75,-91.97,No,No,No
134,39.617645,-107.008655,2359.7,No Signal,,,,,, , , 
135,39.617665,-107.00882,2361.5,-119.1,-90.47,-89.72,1.99,-12.4,-90.8,No,No,No
136,39.61766333,-107.0089433,2366.9,-118.7,-91.46,-90.31,-1.331,-11.37,-91.84,No,No,No
137,39.61766833,-107.00914,2370.9,No Signal,,,,,, , , 
138,39.617675,-107.0092933,2374,-116.9,-91.33,-89.86,4.46E-01,-10.07,-92.04,No,No,No
139,39.61766,-107.0094267,2376.1,No Signal,,,,,, , , 
140,39.61767,-107.0096067,2378.7,-115.4,-91.04,-89.13,-5.53E-01,-9.303,-92.16,No,No,No
141,39.617675,-107.00978,2380.6,-113.1,-90.61,-88.05,2.282,-8.052,-92.55,No,No,No
142,39.61765833,-107.0099217,2380,-112.2,-90.37,-87.5,5.965,-7.72,-93.56,No,No,No
143,39.61765333,-107.010055,2378.9,-112,-90.08,-87.29,5.549,-7.754,-92.54,No,No,No
144,39.61767333,-107.0102083,2376.6,-109.5,-88.34,-85.12,2.993,-7.388,-91.93,Maybe,Maybe,Maybe
145,39.61772833,-107.010385,2375,-104,-84.88,-80.47,17.5,-6.553,-93.52,Good,Good,Maybe
146,39.61772833,-107.0105617,2373.8,-106.2,-86.72,-82.46,-5.62E-02,-6.713,-91.75,Maybe,Maybe,Maybe
147,39.61777667,-107.0107417,2373.6,-107.6,-87.56,-83.7,3.191,-6.889,-91.81,Maybe,Maybe,Maybe
148,39.61785167,-107.010915,2372.4,-103,-84.17,-79.58,11.75,-6.455,-92.21,Good,Good,Maybe
149,39.61787,-107.0111067,2373.5,No Signal,,,,,, , , 
150,39.61791,-107.0112817,2373.8,No Signal,,,,,, , , 
151,39.61797667,-107.01143,2372.3,-95.62,-77.31,-72.35,22.6,-6.278,-93.04,Good,Good,Good
152,39.61802667,-107.0116033,2372.4,-97.58,-79,-74.21,13.51,-6.385,-89.35,Good,Good,Good
153,39.61806167,-107.0117817,2373.9,-97.16,-78.84,-73.87,10.02,-6.296,-91.82,Good,Good,Good
154,39.61811167,-107.01196,2374.6,-95.5,-77.26,-72.24,19.7,-6.268,-91.93,Good,Good,Good
155,39.61821667,-107.0121183,2374,-86.92,-68.72,-63.66,21.1,-6.262,-91.94,Good,Good,Good
156,39.61830833,-107.01225,2375,-85.35,-67.1,-62.09,30.4,-6.265,-92.66,Good,Good,Good
157,39.61843167,-107.01238,2375.3,-88.83,-70.61,-65.59,25.64,-6.257,-91.66,Good,Good,Good
158,39.61851667,-107.01254,2376.3,-76.95,-58.78,-53.71,33.13,-6.245,-92.08,Good,Good,Good
159,39.618595,-107.0126833,2377.8,-75.91,-57.76,-52.69,32.04,-6.239,-90.21,Good,Good,Good
160,39.61869833,-107.0128083,2381.6,-75.57,-57.13,-52.26,29.28,-6.318,-72.34,Good,Good,Good
161,39.61885,-107.012795,2382.3,-62.98,-44.76,-39.74,37.65,-6.244,-83.42,Good,Good,Good
162,39.61895,-107.01269,2388.3,-84.74,-66.49,-61.5,30.51,-6.249,-80.22,Good,Good,Good
163,39.61906667,-107.0126067,2391.1,-75.74,-57.47,-52.47,34.03,-6.276,-90.34,Good,Good,Good
164,39.61918,-107.0124767,2394.2,-82.96,-64.7,-59.69,26.02,-6.283,-91.81,Good,Good,Good
165,39.61927333,-107.0123633,2396.6,-84.73,-66.42,-61.46,26.25,-6.284,-86.09,Good,Good,Good
166,39.61937333,-107.0122383,2395.4,-85.99,-67.55,-62.68,28.85,-6.327,-82.25,Good,Good,Good
167,39.61947833,-107.01213,2395.1,-89.33,-70.99,-66.04,22.15,-6.298,-86.62,Good,Good,Good
168,39.61960667,-107.0120283,2395.6,-82.01,-63.78,-58.76,32.98,-6.258,-92.26,Good,Good,Good
169,39.61971833,-107.0119533,2397.9,-90.14,-72.02,-66.92,24.17,-6.226,-92.78,Good,Good,Good
170,39.619825,-107.0118717,2397.7,-102.1,-83.33,-78.67,16.11,-6.458,-92.87,Good,Good,Maybe
171,39.619945,-107.0117417,2397.2,-91.88,-73.09,-68.47,27.04,-6.422,-86.12,Good,Good,Good
172,39.62005167,-107.0116367,2397.7,-86.4,-68.15,-63.15,29.96,-6.267,-92.65,Good,Good,Good
173,39.62014667,-107.011565,2400.7,-92.58,-73.9,-69.18,27.71,-6.408,-89.11,Good,Good,Good
174,39.61868833,-107.01294,2393.4,-49.93,-31.4,-26.51,17.16,-6.433,-69.09,Good,Good,Good
175,39.61868333,-107.0133433,2383.1,-63.44,-45.25,-40.27,36.18,-6.177,-62.58,Good,Good,Good
176,39.61855333,-107.0137383,2382.6,-77.94,-59.69,-54.75,35.86,-6.201,-75.56,Good,Good,Good
177,39.61832167,-107.01406,2373.5,-87.37,-69.17,-64.18,32.56,-6.207,-90.51,Good,Good,Good
178,39.618235,-107.0145933,2362.6,-93.97,-75.8,-70.76,26.4,-6.217,-93.51,Good,Good,Good
179,39.61816167,-107.0149667,2366.5,-90.66,-72.41,-67.46,32.15,-6.213,-87.68,Good,Good,Good
180,39.61825,-107.015445,2370.5,-94.01,-75.62,-70.78,29.41,-6.235,-89.5,Good,Good,Good
181,39.61835333,-107.0159033,2370.2,-93.51,-75.25,-70.31,30.08,-6.203,-90.13,Good,Good,Good
182,39.61855167,-107.01634,2370.8,-107,-87.69,-83.43,15.88,-6.582,-93.45,Maybe,Maybe,Maybe
183,39.61871667,-107.0167917,2369.4,-104,-84.91,-80.5,19.82,-6.497,-92.47,Good,Good,Maybe
184,39.618835,-107.0172467,2370.9,-107.7,-88.03,-83.95,12.05,-6.746,-94.05,Maybe,Maybe,Maybe
185,39.61896,-107.0177117,2376.5,-103.5,-84.65,-80.08,20.23,-6.418,-92.85,Good,Good,Maybe
186,39.61909333,-107.0181483,2384.3,-104.7,-85.1,-80.99,16.5,-6.712,-90.68,Good,Good,Maybe
187,39.61928833,-107.0185883,2385.1,-104.5,-85.12,-80.87,16.86,-6.633,-91.6,Good,Good,Maybe
188,39.61933667,-107.0187317,2387.4,-113.7,-91.19,-88.61,2.00E-01,-8.069,-93.78,No,No,No
189,39.61942,-107.01917,2388.8,-116.2,-92.66,-90.48,2.96E-01,-8.718,-94.27,No,No,No
190,39.61938167,-107.0196617,2391.2,-111.6,-90.23,-87.15,14.83,-7.439,-93.08,No,No,No
191,39.61932333,-107.0201517,2391,-104.6,-85.68,-81.2,20.75,-6.453,-93.83,Good,Good,Maybe
192,39.61924667,-107.0205717,2395.7,-101.4,-82.83,-78.08,19.71,-6.377,-92.94,Good,Good,Maybe
193,39.61909167,-107.02104,2399.4,-93.83,-75.63,-70.63,29.91,-6.208,-93.89,Good,Good,Good
194,39.61889333,-107.0214583,2402.1,-90.73,-72.53,-67.53,30.39,-6.208,-89.87,Good,Good,Good
195,39.61857333,-107.0218783,2402.5,-89.07,-70.78,-65.85,33.01,-6.226,-87.34,Good,Good,Good
196,39.61832167,-107.0222167,2413.5,-89.96,-71.73,-66.77,33.4,-6.2,-88.18,Good,Good,Good
197,39.61807167,-107.02255,2419.4,-86,-67.9,-62.84,35.29,-6.168,-92.86,Good,Good,Good
198,39.61771,-107.0227833,2418.6,-92.9,-74.79,-69.74,31.28,-6.168,-93.57,Good,Good,Good
199,39.617385,-107.0231317,2419.9,-111.4,-90.79,-87.31,14.75,-7.085,-94.39,No,No,No
200,39.616985,-107.0232433,2416.2,-116.3,-92.39,-90.44,9.91,-8.886,-93.84,No,No,No
201,39.61665833,-107.02332,2418.5,-106.9,-87.81,-83.45,20.11,-6.493,-94.71,Maybe,Maybe,Maybe
202,39.61629833,-107.0234917,2419.7,-108.9,-88.99,-85.11,17.04,-6.778,-93.54,Maybe,Maybe,Maybe
203,39.61591667,-107.0236567,2419,-116.7,-92.38,-90.52,8.218,-9.179,-93.6,No,No,No
204,39.61558667,-107.0237533,2425.3,-119.3,-93.67,-92.22,6.188,-10.05,-94.4,No,No,No
205,39.6152,-107.0238267,2427.2,-127.1,-92.32,-91.84,-2.274,-18.25,-92.53,No,No,No
206,39.61489167,-107.0237517,2433.7,-112.9,-90.56,-87.95,14.65,-7.932,-92.48,No,No,No
207,39.61480667,-107.0232717,2436.3,-121.1,-93.04,-91.72,-1.397,-12.44,-93.6,No,No,No
208,39.614875,-107.022825,2433.8,-125.3,-93.43,-92.48,-2.761,-15.87,-94.17,No,No,No
209,39.61488,-107.02237,2432.2,-100.1,-81.71,-76.81,23.63,-6.264,-94.19,Good,Good,Maybe
210,39.614985,-107.02209,2433.5,-92.38,-74.19,-69.18,31.99,-6.208,-94.72,Good,Good,Good
211,39.61464333,-107.0220517,2438,-90.07,-71.88,-66.87,33.99,-6.212,-93.11,Good,Good,Good
212,39.61456833,-107.0217633,2441.1,-94.11,-75.69,-70.84,30.04,-6.286,-91.1,Good,Good,Good
213,39.61452333,-107.021465,2441.2,-90.63,-72.21,-67.34,30.95,-6.292,-88.5,Good,Good,Good
214,39.61439667,-107.0214,2430.5,-88.7,-70.37,-65.45,32.09,-6.254,-87.75,Good,Good,Good
215,39.61439333,-107.0213817,2430.9,-89.95,-71.74,-66.74,31.83,-6.226,-94.03,Good,Good,Good
216,39.61429833,-107.0213517,2431.3,-89.81,-71.53,-66.57,32.29,-6.253,-95.36,Good,Good,Good
217,39.6142,-107.02132,2430.6,-87.38,-69.14,-64.15,33.41,-6.241,-94.28,Good,Good,Good
218,39.614135,-107.021285,2431.8,-89.63,-71.23,-66.36,31.44,-6.28,-88.34,Good,Good,Good
219,39.61410333,-107.0212367,2433.8,-92.53,-74.14,-69.27,28.52,-6.277,-90.57,Good,Good,Good
220,39.61400833,-107.0211683,2434.9,-94.44,-76.14,-71.2,27.95,-6.249,-93.17,Good,Good,Good
221,39.61391667,-107.02118,2433.4,-95.42,-76.97,-72.14,25.75,-6.284,-90.75,Good,Good,Good
222,39.61382667,-107.0212067,2435.1,-97.86,-79.42,-74.57,26.31,-6.293,-92.63,Good,Good,Good
223,39.61373,-107.0212467,2439.6,-100.3,-81.61,-76.96,24.36,-6.376,-92.56,Good,Good,Maybe
224,39.613625,-107.021185,2443.1,-100.5,-81.87,-77.16,23.89,-6.357,-93.27,Good,Good,Maybe
225,39.61351833,-107.0211933,2442.8,-105,-86.19,-81.62,20.12,-6.418,-94.56,Maybe,Maybe,Maybe
226,39.61338667,-107.0211383,2440.3,-104.4,-85.4,-80.91,21.06,-6.449,-93.58,Good,Good,Maybe
227,39.613305,-107.021145,2440,-109.3,-89.14,-85.41,16.37,-6.947,-93.72,Maybe,Maybe,Maybe
228,39.613195,-107.021175,2442.7,-115.1,-92.16,-89.8,9.605,-8.32,-93.86,No,No,No
229,39.61307833,-107.021155,2444.2,-111.9,-90.58,-87.46,13.58,-7.436,-93.57,No,No,No
230,39.61301333,-107.0210717,2446.3,-111,-88.69,-86.05,10.93,-7.944,-90.83,No,No,No
231,39.61293167,-107.0210467,2444.1,-112.1,-88.27,-86.27,8.015,-8.819,-89.63,No,No,No
232,39.61282333,-107.0210483,2442.7,-113.9,-89.49,-87.69,7.306,-9.203,-90.67,No,No,No
233,39.61276833,-107.0210017,2441.8,-116.8,-90.7,-89.34,5.447,-10.44,-91.55,No,No,No
234,39.61270333,-107.0209767,2439.8,-118.2,-88.78,-88.15,5.175,-13.07,-89.32,No,No,No
235,39.612595,-107.0209767,2436,-112.5,-87.97,-86.19,9.95,-9.35,-89,No,No,No
236,39.61250333,-107.0210033,2432.6,-127.1,-91.01,-90.75,-2.404,-19.32,-91.11,No,No,No
237,39.61243667,-107.0208867,2428.9,-117.8,-90.76,-89.41,-4.858,-11.39,-91.65,No,No,No
238,39.61243667,-107.02074,2426.2,-118,-92.47,-91.05,5.395,-9.936,-93.51,No,No,No
239,39.612375,-107.02063,2424.2,-115.7,-91.56,-89.66,8.083,-9.028,-92.55,No,No,No
240,39.61235,-107.0205233,2421.7,-113.7,-91.34,-88.71,9.083,-7.98,-93.48,No,No,No
241,39.61235333,-107.0204283,2419.7,-117,-92.1,-90.41,7.276,-9.586,-92.97,No,No,No
242,39.61239,-107.0203267,2417.5,-115.7,-92.16,-90.02,9.063,-8.703,-93.55,No,No,No
243,39.61240833,-107.020245,2415.7,-115.7,-92.16,-90.02,9.063,-8.703,-93.55,No,No,No
244,39.61240667,-107.020155,2414.8,-116.1,-92.39,-90.3,9.177,-8.798,-93.39,No,No,No
245,39.61242333,-107.02004,2414.6,-117.2,-92.12,-90.56,6.942,-9.674,-93.06,No,No,No
246,39.61246833,-107.0199483,2415.1,No Signal,,,,,, , , 
247,39.612455,-107.01985,2416.1,-111.8,-90.33,-87.32,13.03,-7.531,-93.14,No,No,No
