Data Point,Latitude,Longitude,Altitude,RSRP,Text,Voice,Video
1,39.61881667,-107.0171033,2374.7,-111.01560203225706,No,No,No
2,39.61879167,-107.01714170000001,2374.6,-110.99803984109028,No,No,No
3,39.61884667,-107.0173317,2376.6,-111.84965702534569,No,No,No
4,39.61885833,-107.01753000000001,2379.2,-112.521963020816,No,No,No
5,39.61889167,-107.01767,2383.1,-113.11558019843369,No,No,No
6,39.618945000000004,-107.01781329999999,2385.8,-113.79799003445126,No,No,No
7,39.61899167,-107.01798500000001,2390.8,-114.53010423639985,No,No,No
8,39.619054999999996,-107.0180967,2395.6,-115.12390684390127,No,No,No
9,39.61913667,-107.0182233,2399.0,-115.81483069980018,No,No,No
10,39.61920667,-107.0183317,2402.3,-116.38994690340634,No,No,No
11,39.619254999999995,-107.01845829999999,2405.4,-116.93145394644682,No,No,No
12,39.61927833,-107.01853829999999,2403.4,-117.24473146806247,No,No,No
13,39.619345,-107.01866170000001,2402.3,-117.81840131780956,No,No,No
14,39.61939333,-107.0188033,2402.3,-118.37445660341777,No,No,No
15,39.619434999999996,-107.0190067,2403.2,-119.0751482771997,No,No,No
16,39.61939,-107.01916170000001,2404.3,-119.39140324611503,No,No,No
17,39.61938167,-107.019355,2404.1,-119.92237954527218,No,No,No
18,39.61937333,-107.01956000000001,2405.0,-120.4860958648413,No,No,No
19,39.61935333,-107.0197067,2405.4,-120.8555826049405,No,No,No
20,39.61937667,-107.0198683,2406.9,-121.36447219417633,No,No,No
21,39.61930167,-107.0199967,2407.8,-121.5626788972692,No,No,No
22,39.619279999999996,-107.0201017,2408.3,-121.81380508784375,No,No,No
23,39.61929,-107.02026670000001,2408.3,-122.29654472021835,No,No,No
24,39.61925167,-107.02041670000001,2408.4,-122.63962974908898,No,No,No
25,39.619184999999995,-107.0205683,2407.8,-122.93786612132692,No,No,No
26,39.61913333,-107.02073829999999,2406.9,-123.31848115418035,No,No,No
27,39.61906667,-107.0209567,2406.4,-123.80990126614734,No,No,No
28,39.61901833,-107.02109499999999,2405.4,-124.11285955350904,No,No,No
29,39.61892667,-107.02123999999999,2404.8,-124.37288800156165,No,No,No
30,39.61886333,-107.0214183,2404.3,-124.7683214732079,No,No,No
31,39.61877667,-107.02158500000002,2404.4,-125.1037910432702,No,No,No
32,39.61867833,-107.021725,2404.2,-125.35821952965986,No,No,No
33,39.61851667,-107.0218317,2404.4,-125.45873358054584,No,No,No
34,39.618445,-107.0219617,2406.6,-125.73037735227258,No,No,No
35,39.618390000000005,-107.0220883,2409.1,-126.01129580127846,No,No,No
36,39.61829667,-107.022205,2411.5,-126.229631609004,No,No,No
37,39.6182,-107.0223817,2411.8,-126.60611993229504,No,No,No
38,39.61803333,-107.02244329999999,2414.6,-126.62785034632638,No,No,No
39,39.61791167,-107.0225533,2419.6,-126.82215581209972,No,No,No
40,39.61774167,-107.02261170000001,2421.1,-126.85439340686864,No,No,No
41,39.61764333,-107.02272830000001,2422.9,-127.09575893717786,No,No,No
42,39.61753833,-107.02283670000001,2424.9,-127.3145334290037,No,No,No
43,39.61745167,-107.0229717,2426.1,-127.6144926547679,No,No,No
44,39.61733833,-107.02307330000001,2427.1,-127.81658077504332,No,No,No
45,39.61719,-107.02317830000001,2427.1,-128.01585726425915,No,No,No
46,39.61703667,-107.023225,2425.6,-128.07307638803383,No,No,No
47,39.61688833,-107.02323500000001,2423.6,-128.0469080739341,No,No,No
48,39.61671667,-107.0232783,2422.8,-128.10632908210337,No,No,No
49,39.616609999999994,-107.02336170000001,2423.0,-128.29102965561756,No,No,No
50,39.616475,-107.02338,2422.7,-128.3094931942925,No,No,No
51,39.61634167,-107.02345829999999,2423.1,-128.4847115705092,No,No,No
52,39.61620667,-107.0235617,2423.3,-128.72630107402796,No,No,No
53,39.616065,-107.02361499999999,2421.8,-128.84766031398357,No,No,No
54,39.61589833,-107.02364329999999,2423.9,-128.91313743780933,No,No,No
55,39.61574,-107.02364329999999,2425.3,-128.9170636142669,No,No,No
56,39.61558333,-107.0237233,2427.5,-129.1232668481275,No,No,No
57,39.61542833,-107.0237733,2427.1,-129.26195762447804,No,No,No
58,39.61527333,-107.02376670000001,2427.6,-129.27086920539037,No,No,No
59,39.61515667,-107.02381499999998,2427.3,-129.40947629693045,No,No,No
60,39.61499167,-107.023825,2426.7,-129.47217529941742,No,No,No
61,39.61487833,-107.02376000000001,2427.2,-129.3490948973201,No,No,No
62,39.61479667,-107.023675,2422.4,-129.17118657845253,No,No,No
63,39.614755,-107.02346329999999,2418.0,-128.6713790512338,No,No,No
64,39.61471667,-107.02324499999999,2415.8,-128.1424665012339,No,No,No
65,39.61475833,-107.0231,2414.5,-127.75754652024389,No,No,No
